Layer_Index,Before_Pruning,After_Pruning,Total_Pareto
0,13,8,8
1,11,3,3
2,11,2,2
3,15,2,2
4,14,1,1
5,23,1,1
6,41,1,1
7,77,1,1
8,77,1,1
9,77,1,1
