Layer_Index,Before_Pruning,After_Pruning,Total_Pareto
0,15,9,9
1,8,2,2
2,9,3,3
3,11,2,2
4,10,2,2
5,14,1,1
6,23,1,1
7,41,1,1
8,41,1,1
9,41,1,1
