Layer_Index,Before_Pruning,After_Pruning,Total_Pareto
0,11,5,5
1,9,4,4
2,9,4,4
3,9,4,4
4,9,4,4
5,9,4,4
6,9,4,4
7,9,4,4
8,11,5,5
9,11,5,5
10,11,5,5
11,11,5,5
12,11,5,5
13,11,5,5
14,8,3,3
15,8,3,3
16,8,3,3
17,8,3,3
18,8,3,3
19,1,1,0
