Layer_Index,Before_Pruning,After_Pruning
0,11,5
1,9,4
2,9,4
3,9,4
4,9,4
5,9,4
6,9,4
7,8,2
8,8,2
9,8,2
10,8,2
11,8,2
12,8,2
13,9,3
14,11,2
15,11,2
16,11,2
17,11,2
18,11,2
19,1,1
