Layer_Index,Before_Pruning,After_Pruning,Total_Pareto
0,20,11,11
1,1,1,0
2,1,1,0
3,14,7,7
4,1,1,0
5,1,1,0
6,14,7,7
7,1,1,0
8,1,1,0
9,8,2,2
10,1,1,0
11,1,1,0
12,8,2,2
13,1,1,0
14,1,1,0
15,8,3,3
16,1,1,0
17,1,1,0
18,8,3,3
19,1,1,0
20,1,1,0
21,9,3,3
22,1,1,0
23,1,1,0
24,9,3,3
25,1,1,0
