Layer_Index,Before_Pruning,After_Pruning,Total_Pareto
0,13,8,8
1,1,1,0
2,1,1,0
3,8,2,2
4,1,1,0
5,1,1,0
6,8,2,2
7,1,1,0
8,1,1,0
9,9,3,3
10,1,1,0
11,1,1,0
12,9,3,3
13,1,1,0
14,1,1,0
15,9,2,2
16,1,1,0
17,1,1,0
18,9,2,2
19,1,1,0
20,1,1,0
21,10,2,2
22,1,1,0
23,1,1,0
24,10,2,2
25,1,1,0
