Layer_Index,Before_Pruning,After_Pruning,Total_Pareto
0,20,11,11
1,10,4,4
2,8,2,2
3,11,3,3
4,11,2,2
5,15,2,2
6,14,1,1
7,23,1,1
8,23,1,1
9,23,1,1
